categoria,pregunta,respuesta
Servicios,¿Qué servicios ofrece ROOKS?,"Ofrecemos diseño web, desarrollo web, rediseño de sitios existentes, tiendas en línea (e-commerce), SEO técnico y soporte/mantenimiento. Nos especializamos en sitios profesionales para fundadores y negocios modernos."
Servicios,¿Hacen landing pages?,"Sí. Las landing pages son uno de nuestros servicios más solicitados. Están orientadas a conversión, con diseño intencional que guía al visitante exactamente donde quieres que vaya."
Servicios,¿Hacen rediseño de sitios existentes?,"Sí. Si ya tienes un sitio web pero no está generando resultados, lo rediseñamos desde la estructura hasta la experiencia de usuario, manteniendo tu identidad de marca."
Servicios,¿Hacen tiendas en línea?,"Sí. Desarrollamos tiendas en línea con sistemas de e-commerce premium, integración de pagos y diseño optimizado para conversión."
Servicios,¿Incluyen SEO en todos los planes?,"Sí. Todos los planes incluyen SEO básico desde el día uno: estructura semántica correcta, velocidad optimizada y metadatos configurados. Los planes superiores incluyen SEO avanzado con Analytics."
Servicios,¿El sitio será responsive/adaptado para móviles?,"Sí, todos los sitios que entregamos son 100% responsive. Más del 60% de los visitantes navegan desde el móvil, por eso diseñamos mobile-first."
Servicios,¿Hacen aplicaciones móviles?,"Por el momento nos especializamos en sitios web y experiencias digitales web. Si necesitas una app móvil, podemos orientarte o evaluar el alcance del proyecto."
Servicios,¿Pueden escribir el contenido (textos) del sitio?,"Sí. Si no tienes los textos listos, nosotros los trabajamos como parte del proceso. Solo necesitas una idea clara de tu negocio y tus metas."
Servicios,¿Pueden usar mi logo y marca existente?,"Por supuesto. Si ya tienes logo, paleta de colores o guía de marca, lo usamos como base para el diseño. Si no tienes, te ayudamos a definir la identidad visual."
Servicios,¿Ofrecen mantenimiento mensual?,"Sí. Tenemos planes de mantenimiento mensual disponibles para clientes que necesitan actualizaciones continuas, ajustes de contenido o soporte técnico recurrente. Se contratan de forma opcional después del lanzamiento."
Proceso y Tiempos,¿En cuánto tiempo entregan un sitio web?,"Entregamos en 14 días hábiles desde que apruebas el diseño inicial. La llamada de descubrimiento y la propuesta ocurren antes de ese plazo, así que el cronograma total desde el primer contacto hasta el lanzamiento es de aproximadamente 3 semanas."
Proceso y Tiempos,¿Cómo es el proceso de trabajo?,Nuestro proceso tiene 4 pasos: 1) Propuesta y diseño — planificamos el alcance y presentamos el diseño. 2) Desarrollo y revisión — construimos el sitio con tus 2 rondas de revisión incluidas. 3) Lanzamiento — publicamos el sitio con dominio y hosting. 4) Entrega — soporte post-lanzamiento para ajustes finales.
Proceso y Tiempos,¿Qué necesito tener listo para empezar?,"Solo necesitas una idea clara de tu negocio y tus metas. Nosotros nos encargamos del texto, el diseño, el desarrollo y el lanzamiento. Si ya tienes contenido, logo o materiales de marca, los usamos como base."
Proceso y Tiempos,¿Los 14 días incluyen la llamada inicial y la propuesta?,"No. Los 14 días cuentan desde que apruebas el diseño inicial. La llamada de descubrimiento y la elaboración de la propuesta ocurren antes de ese plazo."
Proceso y Tiempos,¿Cuánto tiempo tarda en responder ROOKS a mi consulta?,"Respondemos en máximo 24 horas hábiles. En la mayoría de los casos respondemos el mismo día. Puedes escribirnos a hello@rook.digital o completar el formulario de contacto."
Proceso y Tiempos,¿Puedo ver avances durante el proceso?,"Sí. Trabajamos con revisiones estructuradas para que puedas aprobar cada etapa. Las 2 rondas de revisión incluidas son el momento donde ves el trabajo y pides ajustes antes de la entrega final."
Revisiones y Garantías,¿Cuántas revisiones incluyen?,"Todos los planes incluyen 2 rondas de revisión. En cada ronda puedes pedir los ajustes que necesites al diseño o contenido."
Revisiones y Garantías,¿Qué pasa si no quedo conforme con el resultado?,"Incluimos dos rondas de revisión para asegurarnos de que el resultado sea exactamente lo que necesitas. Si al final del proceso no estás conforme, lo resolvemos — tu satisfacción es nuestra prioridad."
Revisiones y Garantías,¿Ofrecen garantía post-lanzamiento?,"Sí. Incluimos soporte post-lanzamiento para correcciones durante las primeras semanas después de publicar el sitio."
Revisiones y Garantías,¿Qué cubre el soporte post-lanzamiento?,"El soporte post-lanzamiento cubre correcciones de ajustes menores, problemas técnicos y refinamiento del sitio durante las primeras semanas. Para cambios mayores o mantenimiento continuo se aplican los planes mensuales."
Revisiones y Garantías,¿Tienen garantía de satisfacción?,"Sí. Si al final del proceso no estás conforme con el resultado, lo resolvemos. Tu satisfacción es nuestra prioridad."
Contratación,¿Cómo empiezo el proceso con ROOKS?,"El primer paso es agendar una asesoría gratuita sin compromiso. Puedes hacerlo desde el botón 'Agenda una asesoría gratis' en el sitio o escribirnos a hello@rook.digital. Te respondemos en menos de 24 horas con una propuesta personalizada."
Contratación,¿Hay contratos largos?,"No. Trabajamos sin contratos largos. El esquema es pago por entregable — pagas por lo que recibas, sin amarres ni renovaciones automáticas."
Contratación,¿La asesoría inicial es gratuita?,"Sí, completamente. La llamada de descubrimiento y la propuesta son sin costo y sin compromiso."
Contratación,¿Trabajan con clientes fuera de su país?,"Sí, trabajamos con clientes en cualquier parte del mundo. Todo el proceso puede manejarse de forma remota."
Contratación,¿Con qué tipo de clientes trabajan?,"Trabajamos principalmente con fundadores, startups, emprendedores y negocios modernos que necesitan un socio técnico, no solo un proveedor de servicios."
Tecnología,¿Con qué tecnologías trabajan?,"Trabajamos con las tecnologías más adecuadas para cada proyecto. Nuestro enfoque es en resultados — velocidad, SEO y conversión — independientemente de la plataforma."
Tecnología,¿Pueden hacer el sitio en WordPress?,"Trabajamos con diversas plataformas según el proyecto. Contáctanos para evaluar cuál es la mejor opción según tus necesidades de gestión de contenido y presupuesto."
Tecnología,¿El sitio lo puedo editar yo mismo después?,"Sí. Diseñamos los sitios pensando en que el cliente pueda hacer ediciones básicas de contenido. Si necesitas un CMS específico, lo contemplamos en la propuesta."
Tecnología,¿Incluyen Analytics (Google Analytics)?,"Los planes superiores incluyen configuración de Analytics. En todos los planes configuramos los metadatos y estructura semántica correcta para SEO desde el día uno."
Acerca de ROOKS,¿Cuántos proyectos han entregado?,"Hemos entregado más de 50 proyectos con una calificación de 5.0. Somos una agencia especializada en sitios de alto impacto para fundadores modernos."
Acerca de ROOKS,¿Por qué elegir ROOKS?,Porque trabajamos en sprints de alta intensidad entregando semanas de trabajo en días sin sacrificar calidad. Somos arquitectos digitales — diseñamos con intención para que tu sitio no solo se vea bien sino que convierta visitantes en clientes.
Acerca de ROOKS,¿Dónde están ubicados?,"Somos una agencia digital que trabaja de forma remota con clientes en todo el mundo. Puedes contactarnos en hello@rook.digital."
Acerca de ROOKS,¿Cómo puedo contactar a ROOKS?,"Puedes escribirnos a hello@rook.digital, completar el formulario en la página de Contacto, o agendar directamente una asesoría gratuita desde el sitio web. Respondemos en máximo 24 horas hábiles."
Acerca de ROOKS,¿Tienen portafolio de trabajos anteriores?,"Sí. Puedes ver nuestros proyectos anteriores en la sección de Portafolio del sitio web en rooks.com."
